1,比黑人碳头牙刷好用?,碳头;,好用;,1;
2,比之前坏的要好些，亮一些。,NULL;,坏;,-1;
3,质量很好 用着很舒服 感觉有点小贵啊,质量;NULL;有点;,很好;舒服;小贵;,1;1;-1;
4,发货速度很快，东西收到后基本上和描述的没什么差别，质量还行，比较实用，就是感觉有点渣脚，上面的硬塑料设计不够光滑希望厂家能够改进。,NULL;质量;NULL;有点;NULL;塑料;,很快;还行;实用;渣;硬;光滑;,1;1;1;-1;-1;1;
5,1、每星期至少两次掉线，一天重启几次也正常；2、5G已坏。,NULL;NULL;,正常;坏;,1;-1;
6,从中学一直在用的，质量好,质量;,好;,1;
7,此产品太差劲了，没有任何内包装，直接放在盒子里就过来了。铅笔也是打开过多次，已经很久了的样子。必须差评！,产品;NULL;NULL;,差劲;久;差评;,-1;0;-1;
8,色粉笔也太贵了吧，而且包装也有些旧了，后悔买啊，早知到上实品店买,粉笔;NULL;NULL;,太贵;旧;后悔;,-1;-1;-1;
9,买了跟老公一人一个，用下来还不错，比较静音，充满电能用半个月。,NULL;NULL;,不错;静音;,1;1;
10,亚马逊自营的东西是正品，一贯都不错，东西好坏是产品本身的事情。,东西;NULL;,正品;不错;,1;1;
11,气味清香，洗衣洁净。,NULL;NULL;,清香;洁净;,1;1;
12,中间有几页排版有问题 有的字看不到,NULL;,看不到;,-1;
13,方便，可挂脖上，当项链了。,NULL;,方便;,1;
14,产品挺软，不过孩子更喜欢自己手指头。一星是因为快递很差劲，老公让快递员联系我送到家，结果联系我还是让自己去大门口取，我依然因为在家看孩子走不开。快递员自己签收这个事，很过分。,NULL;星;NULL;,喜欢;差劲;过分;,1;-1;-1;
15,4g移动卡，插进去居然没任何反应，不建议购买,建议;,卡;,-1;
16,袜子质量很不错，很满意，这个价格很值。,质量;NULL;,不错;满意;,1;1;
17,建议看原版 难怪在欧洲销量排行第一的书在中国卖不好. 首先书名翻译的就有问题。第一人称是Lou。Lou要Will好好的？ 我想译者是说Will要Lou 好好的吧。 但通篇都是Lou的视角，你书名让WIll说合适么？Me before you是Lou表示她再遇到Will前的生活与之后的生活的差别。,NULL;书名;,不好;合适;,-1;1;
18,考试内容为0 最新题库 里面没有 一道题没有,,,
19,rt，搞个驱动太麻烦，烦死,NULL;NULL;,麻烦;烦死;,-1;-1;
20,卖了6瓶，没有一瓶不漏的，都是盖子裂开。,NULL;NULL;,不漏;裂开;,1;-1;
21,1。现在一直还在用。。,,,
