1,比黑人碳头牙刷好用?,牙刷;,好用;,1;
2,比之前坏的要好些，亮一些。,,,
3,质量很好 用着很舒服 感觉有点小贵啊,质量;质量;,好;舒服;,1;1;
4,发货速度很快，东西收到后基本上和描述的没什么差别，质量还行，比较实用，就是感觉有点渣脚，上面的硬塑料设计不够光滑希望厂家能够改进。,速度;质量;NULL;塑料;设计;,快;行;实用;硬;光滑;,1;1;1;-1;1;
5,1、每星期至少两次掉线，一天重启几次也正常；2、5G已坏。,星期;NULL;NULL;NULL;NULL;,次;重;次;正常;坏;,-1;-1;-1;1;-1;
6,从中学一直在用的，质量好,,,
7,此产品太差劲了，没有任何内包装，直接放在盒子里就过来了。铅笔也是打开过多次，已经很久了的样子。必须差评！,产品;NULL;NULL;,差劲;久;差评;,-1;0;-1;
8,色粉笔也太贵了吧，而且包装也有些旧了，后悔买啊，早知到上实品店买,笔;NULL;,贵;后悔;,-1;-1;
9,买了跟老公一人一个，用下来还不错，比较静音，充满电能用半个月。,NULL;NULL;,不错;静音;,1;1;
10,亚马逊自营的东西是正品，一贯都不错，东西好坏是产品本身的事情。,东西;NULL;,正品;不错;,1;1;
11,气味清香，洗衣洁净。,气味;NULL;,清香;洁净;,1;1;
12,中间有几页排版有问题 有的字看不到,NULL;,看不到;,-1;
13,方便，可挂脖上，当项链了。,NULL;,方便;,1;
14,产品挺软，不过孩子更喜欢自己手指头。一星是因为快递很差劲，老公让快递员联系我送到家，结果联系我还是让自己去大门口取，我依然因为在家看孩子走不开。快递员自己签收这个事，很过分。,孩子;快递;NULL;,喜欢;差劲;过分;,1;-1;-1;
15,4g移动卡，插进去居然没任何反应，不建议购买,g;,卡;,-1;
16,袜子质量很不错，很满意，这个价格很值。,质量;NULL;,不错;满意;,1;1;
17,建议看原版 难怪在欧洲销量排行第一的书在中国卖不好. 首先书名翻译的就有问题。第一人称是Lou。Lou要Will好好的？ 我想译者是说Will要Lou 好好的吧。 但通篇都是Lou的视角，你书名让WIll说合适么？Me before you是Lou表示她再遇到Will前的生活与之后的生活的差别。,中国;,好;,1;
18,考试内容为0 最新题库 里面没有 一道题没有,题库;,新;,1;
19,rt，搞个驱动太麻烦，烦死,驱动;NULL;,麻烦;烦死;,-1;-1;
20,卖了6瓶，没有一瓶不漏的，都是盖子裂开。,NULL;盖子;,漏;裂开;,-1;-1;
21,1。现在一直还在用。。,,,
22,发过来的是老包装，但是与在商场买的效果不一样，之前一直用的挺好的，包装不一样效果也不一样吗？,NULL;,挺好;,1;
23,1. 收到货以后内部包装盒上的防伪标签是破损的； 2. 口罩本身有刺鼻的塑料气味； 3. 口罩呼吸阀上的3M商标字样可以轻易擦掉； 4. 戴上口罩后仍然能明确的闻到外界的粉尘和其他气味；,口罩;字样;,刺鼻;可以;,-1;1;
24,用了一周，主要当无线路由（静态ip）用的，工作时间连台式机和手机。1天9个小时，平均2天观察到掉线一次，基本稳定，也不热。比较奇怪的是，192.168.1.253时不时的访问困难。 切换工作模式的开关很实用。,掉线;NULL;NULL;192.168.1.253;开关;,次;稳定;奇怪;困难;实用;,-1;1;-1;-1;1;
25,好东西，绝对物有所值！拿回来三天到四天就可以装茶叶了，一点异味都没有！,NULL;NULL;茶叶;,好;物有所值;可以;,1;1;1;
26,速度没有广告的那么大，实际测量应该是38,,,
27,我买的亚马逊直营，但是送来的外包装上是北京四海致祥国际商贸，看不懂。,,,
28,买了后，发现公司不能热饭了，就一直没用过，不知道是否漏水,,,
29,很好用，是正品，后悔只买了一组，唇膏比较润颜色也好看，睫毛膏是属于纤长型没有苍蝇腿,腿;NULL;NULL;颜色;,好用;正品;后悔;好看;,1;1;-1;1;
30,iFrogz 爱蛙 音效很不错，价格很实惠。,音效;价格;,不错;实惠;,1;1;
31,性价比高，�
