sentiment_word-情感关键词,sentiment_anls-情感正负面
实惠;快;也好;,1;1;1;
太长;太贵;不方便;,-1;-1;-1;
差;无语;,-1;-1;
满意;好;,1;1;
不错;也好;好评;,1;1;1;
,
高清;最好;,1;1;
不错;不错;好;,1;1;1;
受不了;,-1;
挺好;满意;,1;1;
可以;,1;
差不多;差;没有高;差;,0;-1;-1;-1;
难看;干;,-1;-1;
黑屏;垃圾;,-1;-1;
痒;,-1;
慢;失望;,-1;-1;
好;安静;不错;很好;尽心;满意;,1;1;1;1;1;1;
,
不是满意;,-1;
好;,1;
不是很好;,-1;
,
很好;不卡顿;快;,1;1;1;
坑;不值;差不多;,-1;-1;0;
挺好;,1;
还可以;,1;
便宜;不错;信赖;,1;1;1;
正品;便宜;好;,1;1;1;
滋润;还可以;,1;1;
,
赞;一般般;,1;0;
一般;,0;
很高;很快;快;破;,1;1;1;-1;
不喜欢;,-1;
长;很好;足够;好;,1;1;1;1;
瑕疵;,-1;
一般;,0;
坑;不适用;很多;不是通用;,-1;-1;1;-1;
慢;,-1;
不错;,1;
很好;,1;
很小;静音;不错;,1;1;1;
不错;可以;高;,1;1;1;
舒服;喜欢;好;高;好评;,1;1;1;1;1;
,
一般;过高;,0;-1;
,
失败;不满意;假;差不多;快;,-1;-1;-1;0;1;
好评;太差;很差;破;很差;变形;,1;-1;-1;-1;-1;-1;
坏;,-1;
太少;薄;,-1;0;
差;好;假;,-1;1;-1;
不错;,1;
垃圾;很好;不稳;谨慎;,-1;1;-1;0;
还可以;,1;
差;虚假;,-1;-1;
方便;实惠;满意;漂亮;,1;1;1;1;
棒;,1;
难闻;别最好;,-1;-1;
快;滋润;不算高档;不错;不算亲和;香;,1;1;-1;1;-1;1;
满意;,1;
不不好;,1;
不错;棒;,1;1;
不错;挺好;,1;1;
,
太稀;,-1;
不干净;还可以;有划痕;,-1;1;-1;
,
流畅;清晰;很多;不卡顿;最好;,1;1;1;1;1;
不能碎;很好;碎;好;,1;1;-1;1;
不是新;不稳;,-1;-1;
好;,1;
不错;,1;
正品;慢;,1;-1;
不满意;还可以;,-1;1;
次;,-1;
不是讲究;,-1;
贵;,-1;
差;,-1;
假;欺骗;,-1;-1;
,
,
好;不好;慢;,1;-1;-1;
快;,1;
不满意;,-1;
不怎么好用;,-1;
正品;好;快;,1;1;1;
无良;坑人;劣质;无语;无良;可以;差评;垃圾;,-1;-1;-1;-1;-1;1;-1;-1;
不错;赞;及时;长;,1;1;1;1;
还可以;,1;
不积极;很差;窝火;慢;很大;,-1;-1;-1;-1;1;
容易;不舒服;,1;-1;
恶心;想吐;不舒服;,-1;-1;-1;
假货;,-1;
,
实用;快;,1;1;
明显;好用;久;还好;一般;明显;看不到;,0;1;0;1;0;0;-1;
不错;,1;
一般;强劲;一般;,0;1;0;
便宜;无好;,1;-1;
还可以;,1;
不好;松动;裂痕;纳闷;推荐;松动;烂;,-1;-1;-1;-1;1;-1;-1;
不是好东西;,-1;
不是很干;,1;
,
低;可以;,-1;1;
不符;,-1;
好;可以;满意;,1;1;1;
挺好;,1;
,
不错;挺好;,1;1;
好;合适;放心;满意;,1;1;1;1;
假;,-1;
不满;,-1;
及时;不错;挺好;,1;1;1;
,
,
划算;很香;,1;1;
假货;明显;好;,-1;0;1;
碎;,-1;
明显;,0;
不错;很快;,1;1;
挺好;,1;
太差;很差;,-1;-1;
不错;好;厚实;,1;1;1;
看不见;裂;不满意;好;,-1;-1;-1;1;
太差;没有完整;,-1;-1;
薄;便宜;一般;,0;1;0;
很快;不错;很好;很好;,1;1;1;1;
薄;不过敏;很轻;过敏;淡淡的;,0;1;1;-1;1;
还行;不合适;,1;-1;
还行;,1;
不好;好;用不上;,-1;1;-1;
还可以;还行;,1;1;
太差;敢用;,-1;1;
不干净;,-1;
坏;没有更糟;慎重;,-1;1;-1;
良心;,1;
,
费;,-1;
物超所值;挺好;好;很快;,1;1;1;1;
不错;,1;
可惜;,-1;
很多;挺好;,1;1;
还好;便宜;,1;1;
凉凉的;不是干爽;,1;-1;
还行;强;还可以;,1;1;1;
不错;慢;慢;,1;-1;-1;
爱理不理;不行;还行;,-1;-1;1;
,
,
快;慢;好;不好;不怎么样;,1;-1;1;-1;-1;
可以;满意;好大;很好;费;还可以;可以;很小;够大;,1;1;-1;1;-1;1;1;1;1;
,
浪费;,-1;
,
不好;,-1;
一般;,0;
不可以;,-1;
垃圾;,-1;
不对;,-1;
太长;,-1;
可以;,1;
不灵;垃圾;卡;垃圾;难用;垃圾;,-1;-1;-1;-1;-1;-1;
很好;好;,1;1;
适合;很好;粗糙;,1;1;-1;
不方便;,-1;
不怎么样;好;失望;一般般;不怎么样;,-1;1;-1;0;-1;
,
实用;漂亮;,1;1;
挺好;还行;挺好;,1;1;1;
将就;可惜;,-1;-1;
值得;可以;,1;1;
坏;,-1;
不错;挺好;喜欢;,1;1;1;
神奇;,1;
听不见;,-1;
实惠;还可以;,1;1;
,
便宜;没有不错;,1;-1;
正品;,1;
有问题;假;失望;有问题;,-1;-1;-1;-1;
大气;快;不错;守信用;好;很好;便宜;简洁;高;满意;,1;1;1;1;1;1;1;1;1;1;
也好;不错;满意;,1;1;1;
不错;便宜;,1;1;
很快;不错;满意;,1;1;1;
被骗;,-1;
不准;,-1;
太差;不能便宜货;,-1;1;
不好;不错;坏;还好;,-1;1;-1;1;
很好;坑爹;不对劲;,1;-1;-1;
好;,1;
很好;还可以;不错;,1;1;1;
可以;便宜;可以;方便;方便;,1;1;1;1;1;
,
慢;,-1;
不如便宜;刺鼻;假;假货;,-1;-1;-1;-1;
不错;一般般;,1;0;
一般;慢;,0;-1;
不错;,1;
喜欢;好评;,1;1;
不值;,-1;
好;一般;,1;0;
不错;很好;,1;1;
不错;,1;
一般;贵;,0;-1;
次;随便;没法用;不卡;不好;,-1;-1;-1;1;-1;
,
不咋地;,-1;
很好;,1;
挺好;很快;,1;1;
超好;好;,1;1;
,
还行;挺好;,1;1;
没有顺滑;不好;失望;,-1;-1;-1;
信赖;不错;挺好;,1;1;1;
不好用;不怎么样;不好;,-1;-1;-1;
卡;,-1;
,
又快又好;满意;,1;1;
无语;好评;,-1;1;
不管用;费钱;不合理;,-1;-1;-1;
不给力;慢;不错;合适;,-1;-1;1;1;
不错;很快;,1;1;
一般般;不是太强;,0;1;
,
不敬业;还行;,-1;1;
贵;,-1;
对得起;舒服;,1;1;
,
,
,
,
太薄;,0;
,
刺鼻;很大;,-1;1;
不明显;平庸;很多;失望;,0;0;1;-1;
刺痛;不清楚;不是敏感;,-1;-1;-1;
,
好;,1;
超快;,1;
还可以;挺快;,1;1;
不适;很干;,-1;-1;
不要迷恋;,-1;
太短;慢;,-1;-1;
平衡;清透;细致;,1;1;1;
次;不对;不行;,-1;-1;-1;
不怎么好;,-1;
快捷;费劲;垃圾;,1;-1;-1;
,
真皮;,1;
吃亏;挺好;好;,-1;1;1;
,
,
不错;很好;免费;,1;1;1;
不满意;不符;,-1;-1;
不合适;,-1;
好;清爽;,1;1;
不错;挺好;,1;1;
烂;猛烈;,-1;-1;
喜欢;,1;
难闻;,-1;
还可以;,1;
,
赞;很好;满意;很棒;迅速;柔和;喜欢;不错;可以;,1;1;1;1;1;1;1;1;1;
没有清扬;长;不太好;好用;很多;,-1;1;-1;1;1;
很好;细致;满意;,1;1;1;
假货;,-1;
坏;坏;不理;,-1;-1;-1;
强大;窝火;很差;慢;慢;很差;,1;-1;-1;-1;-1;-1;
,
没有好;,-1;
满意;好评;,1;1;
不错;挺好;很好;,1;1;1;
漂亮;失败;不管用;,1;-1;-1;
脏;,-1;
慢;,-1;
,
不值;还可以;一般般;,-1;1;0;
好看;太差;,1;-1;
,
舒服;,1;
还好;好;,1;1;
值得;快;真品;好;,1;1;1;1;
太卡;卡;不行了;,-1;-1;0;
,
脏兮兮;假;,-1;-1;
,
变型;还可以;久;,-1;1;0;
,
省时;干净;丰富;滑滑的;,1;1;1;1;
麻烦;遗憾;还可以;可以;,-1;-1;1;1;
一般;,0;
还可以;,1;
垃圾;一般;,-1;0;
不不好;,1;
实惠;,1;
不喜欢;一般;,-1;0;
无语;,-1;
,
很好;方便;,1;1;
,
,
清晰;快;流畅;不少;很棒;,1;1;1;1;1;
坏;浪费;,-1;-1;
,
喜欢;,1;
淡淡的;不油;,1;1;
仿冒;刺鼻;简单;好;认真;,-1;-1;1;1;1;
标准;恶心;超差;差;随便;免费;,0;-1;-1;-1;-1;1;
不符;,-1;
差;差评;不是一般;,-1;-1;0;
,
正品;好东西;,1;1;
慢;,-1;
不干净;不错;高大上;,-1;1;1;
,
没话说;好用;,1;1;
贵;,-1;
不好用;,-1;
将就;,-1;
不专业;恶劣;,-1;-1;
便宜;,1;
很好;不错;便宜;不错;快;还可以;满意;,1;1;1;1;1;1;1;
一般;,0;
物有所值;使用方便;满意;,1;1;1;
挺好;喜欢;,1;1;
好;快;挺好;棒;很好;喜欢;棒棒;,1;1;1;1;1;1;1;
,
很响;,-1;
还可以;不错;价廉物美;,1;1;1;
垃圾;好;,-1;1;
容易;物超所值;划算;,1;1;1;
还可以;,1;
很高;不错;,1;1;
物美价廉;,1;
还行;,1;
,
不错;适合;很大;赞;,1;1;1;1;
很好;舒服;,1;1;
没有好;一般;,-1;0;
差;忽悠;刺鼻;,-1;-1;-1;
便宜;好用;,1;1;
不敢恭维;,-1;
,
便宜;无好;太差;,1;-1;-1;
还行;不行;,1;-1;
便宜;方便;,1;1;
可以;,1;
值得;实惠;,1;1;
还行;,1;
好用;漂亮;时尚;也好;方便携带;红红火火;漂亮;不会很重;好评;很薄;好;实惠;不错;足;有分量;给力;,1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;
,
坏;不错;喜欢;,-1;1;1;
假冒伪劣;假货;痒;痒;假;真实;,-1;-1;-1;-1;-1;1;
用心;合理;满意;,1;1;1;
慢;还好;,-1;1;
,
,
不错;很大;,1;1;
一般;,0;
省电;不带劲;实惠;弱;,1;-1;1;-1;
正品;,1;
不错;很好;挺大;,1;1;1;
快;,1;
不想差;,1;
好用;,1;
,
次;清晰;满意;还可以;清晰;很快;细腻;很高;,-1;1;1;1;1;1;1;1;
不错;,1;
差;很多;,-1;1;
好;,1;
不贵;挺好;,1;1;
不好;好;没异常;,-1;1;1;
不错;好用;,1;1;
不错;不错;还好;还好;差;,1;1;1;1;-1;
挺好;,1;
挺好;慢;,1;-1;
不是静音;划算;,-1;1;
很好;,1;
辛苦;,1;
不咋滴;,-1;
清脆;快;很好;粗心大意;,1;1;1;-1;
细心;满意;和善;满意;客气;,1;1;1;1;1;
麻烦;好用;,-1;1;
慎重;差;瑕疵;,-1;-1;-1;
不错;,1;
好;裂痕;破碎;,1;-1;-1;
大爱;正版;喜欢;很快;满意;,1;1;1;1;1;
,
差评;欺骗;,-1;-1;
不错;不错;,1;1;
太假;,-1;
没有明显;一般;很好;便宜;,0;0;1;1;
不是很好;差评;,-1;-1;
粘粘的;不起泡;假;不敢不用说;,-1;1;-1;-1;
假货;不错;,-1;1;
容易;,1;
无语;垃圾;,-1;-1;
坏;很差;,-1;-1;
挺好;舒服;划算;,1;1;1;
可爱;很快;时尚;好;,1;1;1;1;
,
,
很好;,1;
很快;不错;,1;1;
不错;挺高;充分;,1;1;1;
没干净;细心;一般;很多;凑合;好;,-1;1;0;1;0;1;
差评;,-1;
划算;高;,1;1;
,
不错;郁闷;淡淡的;可以;喜欢;贵;不错;,1;-1;1;1;1;-1;1;
好;方便;,1;1;
快;,1;
方便;很快;,1;1;
可以;满意;,1;1;
值得;清楚;棒棒哒;,1;1;1;
很久;上好;明显;,-1;1;0;
不错;清晰;满意;,1;1;1;
不错;,1;
一般般;不怎么正宗;,0;-1;
漂亮;,1;
正品;喜欢;,1;1;
过敏;不过敏;正规;正规;明显;,-1;1;1;1;0;
不错;,1;
很好;,1;
有问题;好;不怎么好;,-1;1;-1;
流畅;很好;,1;1;
次;严重;很多;一般;,-1;-1;1;0;
挺好;,1;
有问题;及时;,-1;1;
挺好;,1;
棒;,1;
满意;正好;,1;1;
不贵;喜欢;好;不油;,1;1;1;1;
实惠;,1;
不怎么样;一般般;,-1;0;
,
还好;,1;
不错;好用;差;,1;1;-1;
惊喜;惊喜;太高;不错;喜欢;快;不贵;放心;费;,1;1;-1;1;1;1;1;1;-1;
不过敏;麻烦;过敏;不是过敏;准;,1;-1;-1;1;1;
慢;,-1;
还行;假;,1;-1;
很低;,1;
不错;柔软;,1;1;
欠佳;保证;紧绷;紧致;不是很多;很多;,-1;1;-1;1;-1;1;
不错;好;,1;1;
不是密实;可以;,-1;1;
,
,
不好;浪费;坏;,-1;-1;-1;
,
麻烦;不准;垃圾;,-1;-1;-1;
可以;实惠;,1;1;
挺好;,1;
喜欢;还好;淡淡的;,1;1;1;
不错;很好;到位;,1;1;1;
不错;不错;,1;1;
,
没合算;,-1;
正品;挺好;,1;1;
时尚;大气;没得说;,1;1;1;
差;不正规;碎;闹心;正品;不靠谱;不全;,-1;-1;-1;-1;1;-1;-1;
,
模糊;,-1;
不错;适合;很好;环保;,1;1;1;1;
很薄;还可以;,-1;1;
很快;满意;,1;1;
不满意;不好用;不是正品;,-1;-1;-1;
好;满意;,1;1;
不行;一般;,-1;0;
,
发错;,-1;
不是很好;笨重;,-1;-1;
不容易;一般;,1;0;
烂;垃圾;,-1;-1;
错;一般;,-1;0;
不错;秀气;小了点;,1;1;-1;
不错;可以;随便;不高;,1;1;-1;0;
不难;方便;不舒服;,1;1;-1;
快速;还行;,1;1;
不适用;,-1;
郁闷;有问题;坏掉;,-1;-1;-1;
可以;,1;
不好;迷糊;,-1;-1;
